"author","max(views)"
Eric Lewis,845000
Abdallah Ewis,842000
Gabe Barcia-Colombo,841000
Elizabeth Cox,840000
Brittany K. Barnett,839000
Jim Hagemann Snabe,837000
Rives,835000
Amy Herman,832000
Pavan Sukhdev,831000
Kayla Wolf,830000
Shirin Neshat,829000
Lauren Zalaznick,828000
Jok Church,827000
Colm Kelleher,826000
Bjørn Otto Sverdrup,825000
Yoruba Richen,824000
Francis de los Reyes,823000
Michael Stevens,822000
Paola Antonelli,821000
Leah Buechley,819000
Katie Paterson,817000
Trita Parsi,816000
George Papandreou,815000
Sajan Saini,814000
Cristina Domenech,813000
TED staff,812000
Todd Humphreys,811000
Alex Gendler,810000
Liz Fosslien,809000
Janelle Peters,808000
Elizabeth Cox,807000
Michael Metcalfe,806000
Priyanka Jain,805000
Severine Autesserre,804000
Saki Mafundikwa,803000
Mark Roth,802000
Mostafa Minawi,801000
Dustin Burke,800000
Romina Libster,799000
George Zaidan and Charles Morton,798000
Austin Eubanks,797000
Tim Berners-Lee,796000
Anil Gupta,795000
Read Montague,794000
Sara Valencia Botto,793000
Lee Cronin,792000
Melody Smith,791000
George Ayittey,790000
Emily Pilloton-Lam,789000
Douglas L. Oliver,787000
Carlos M. Duarte,786000
Paolo Bortolameolli,785000
"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",782000
Jonathan Smith,781000
Noah R. Bressman,780000
"Amanda Palmer, Jherek Bischoff, Usman Riaz",779000
Jeff Leek and Lucy McGowan,778000
Andrey Vyshedskiy,777000
James A. Smith,776000
Chris Abani,775000
James Stavridis,774000
Soraya Field Fiorio,773000
Alex Gendler,770000
Morra Aarons-Mele,769000
Aziza Chaouni,767000
Li-Huei Tsai,766000
Brandon Clifford,765000
Chieh Huang,764000
Bill Strickland,763000
 Silk Road Ensemble,762000
Iseult Gillespie,761000
Philip K. Howard,760000
Christina Warinner,757000
Ivan Krastev,755000
Brian Kateman,754000
Iseult Gillespie,753000
Reuben Jonathan Miller,751000
Sophal Ear,750000
Kwabena Boahen,749000
Rose Goslinga,748000
Arnav Kapur,747000
Peter Paccone,746000
Trevor Copp and Jeff Fox,745000
Aris Venetikidis,744000
Thomas W. Cronin,743000
Mark Robinson,742000
Bobby Ghosh,741000
Ron McCallum,740000
Iseult Gillespie,739000
Kate Stone,738000
Trevor Maber,737000
Alex Rosenthal,735000
Carina Morillo,734000
Matt Walker,733000
Gabrielle Walker,732000
Jill Sobule,731000
